Gene	SRR11319298	SRR11319299	SRR11319300	SRR11319307	SRR11319308	SRR11319309
LOC102724371	0	0	0	0	1	0
C12orf77	0	0	0	0	0	0
LOC645177	0	0	0	0	0	0
LRMP	3	1	1	2	4	0
CASC1	4	6	4	11	6	10
LYRM5	422	446	522	497	448	420
KRAS	6358	5371	6704	5997	5314	4334
IFLTD1	0	0	0	3	2	4
MIR4302	0	0	0	0	0	0
RASSF8-AS1	37	31	46	48	42	34
RASSF8	1521	1269	1656	1368	1378	1071
BHLHE41	23	27	24	37	30	14
SSPN	250	216	256	196	233	179
LOC101928554	0	0	0	0	0	0
ITPR2	1554	1225	1681	1583	1369	1141
ASUN	2649	2188	2794	2768	2444	2071
FGFR1OP2	2197	1931	2276	2043	1928	1667
TM7SF3	3445	3175	3887	3427	3094	2527
MED21	2715	2331	2871	2665	2380	1967
LOC101928625	0	0	4	1	3	0
C12orf71	0	1	0	1	1	0
LOC729222	1	2	1	5	10	5
STK38L	2327	2115	2524	2307	2215	1779
ARNTL2	4639	4425	4995	3715	3327	2589
RP11-165P7.1	0	5	4	0	1	0
SMCO2	16	17	16	8	13	2
PPFIBP1	5124	4601	5862	4468	4099	3218
REP15	27	31	30	23	14	14
MRPS35	4075	3585	4407	4085	3627	3001
MANSC4	1	1	1	2	0	1
KLHL42	2199	1846	2197	2340	2148	1713
PTHLH	91	65	79	112	85	73
LOC729291	29	38	43	27	32	27
CCDC91	1799	1531	1845	1761	1628	1424
LOC101928705	8	3	10	6	14	0
LOC101928735	0	0	0	0	0	0
FAR2	414	367	466	419	421	335
RP11-996F15.2	11	8	8	6	9	11
ERGIC2	2859	2215	2956	2919	2491	2227
OVCH1-AS1	2	2	1	1	2	1
LOC101928800	0	0	0	0	0	0
OVCH1	0	0	1	0	0	1
TMTC1	190	158	183	165	179	178
IPO8	4317	3620	4663	4110	3600	2928
CAPRIN2	830	724	850	978	779	684
LOC645485	0	0	0	1	0	2
LINC00941	101	74	94	134	113	110
TSPAN11	0	5	3	3	2	2
DDX11-AS1	31	17	42	24	27	12
DDX11	2664	2224	3000	2588	2210	1759
OVOS2	1	2	1	0	3	1
FAM60A	0	1	1	2	0	0
FLJ13224	0	0	0	0	0	0
LOC101929027	0	0	0	0	0	0
LOC102724561	0	1	0	0	0	0
DENND5B	2263	1972	2562	2676	2358	1848
DENND5B-AS1	15	16	9	11	10	18
METTL20	33	23	41	27	26	25
AMN1	418	369	500	396	339	312
LOC102724599	0	1	3	1	2	0
LOC102724590	0	0	0	0	0	0
H3F3C	84	159	117	95	102	132
KIAA1551	2626	2023	2676	2425	2189	1761
LOC102724618	0	2	1	1	3	0
BICD1	938	809	966	921	871	692
FGD4	2580	2316	2797	2726	2569	2178
DNM1L	8609	7516	9275	8803	7816	6718
YARS2	1725	1540	2039	1871	1654	1270
PKP2	3349	2682	3316	3428	3003	2465
SYT10	3	6	2	3	8	3
ALG10	864	751	996	941	860	705
LOC102724629	5	7	4	4	1	6
ALG10B	1032	945	1048	1058	916	815
CPNE8	681	609	723	715	583	518
KIF21A	1553	1230	1596	1637	1489	1318
LOC101927019	4	6	5	2	1	0
ABCD2	1	0	1	1	1	2
C12orf40	0	0	0	0	0	0
SLC2A13	496	455	363	166	150	164
LOC101930164	0	0	0	0	0	0
LRRK2	75	57	58	72	57	38
MUC19	0	0	0	0	0	0
CNTN1	439	413	499	489	474	391
PDZRN4	1	0	0	0	0	0
LOC101927038	0	0	0	0	0	0
GXYLT1	1141	937	1124	1186	1098	847
YAF2	364	328	443	373	373	291
ZCRB1	1931	1592	2012	1665	1534	1357
MIR7851	1	2	0	6	1	0
PPHLN1	2377	2060	2503	2447	2121	1804
PRICKLE1	90	81	119	130	111	94
LOC102723735	0	2	3	2	0	1
RP11-609L23.1	0	0	0	0	0	0
ADAMTS20	78	57	69	58	57	18
PUS7L	921	687	904	971	900	719
IRAK4	614	479	621	565	530	417
TWF1	6341	5132	6630	6646	6048	4893
TMEM117	347	296	319	320	267	250
NELL2	209	199	243	208	181	184
DBX2	0	0	0	0	0	0
RACGAP1P	4	12	10	9	9	7
PLEKHA8P1	60	68	73	74	58	59
ANO6	3920	3454	4597	4337	3775	3165
LINC00938	266	204	254	269	200	166
ARID2	3274	2854	3623	3566	3197	2450
SCAF11	6303	5314	6484	5950	5520	4767
SLC38A1	12198	11001	14095	11002	10078	8145
SLC38A2	10998	9220	10860	9725	8740	7031
LOC102723757	0	0	0	1	2	0
RP11-96H19.1	13	20	18	18	28	17
SLC38A4	2	1	0	0	0	0
AMIGO2	189	160	190	201	175	104
LOC102724147	0	0	1	0	1	1
PCED1B	28	29	27	19	10	5
MIR4698	0	0	0	0	0	0
PCED1B-AS1	0	2	2	0	0	1
LOC101927116	0	0	2	2	1	2
MIR4494	0	0	0	0	0	0
LOC101927135	5	2	3	3	2	3
RPAP3	1833	1575	2036	2038	1753	1491
ENDOU	0	1	6	1	3	3
RAPGEF3	156	158	141	165	158	126
SLC48A1	1149	1015	1094	918	853	649
HDAC7	1394	1159	1435	1379	1209	1011
VDR	1987	1672	2089	1884	1739	1470
TMEM106C	2611	2226	3007	2650	2371	2044
COL2A1	5	7	14	7	21	6
LOC728114	0	0	0	0	0	1
SENP1	1905	1753	2262	2154	1964	1606
LOC101927180	1	0	1	3	0	1
PFKM	2169	1861	2386	2375	1937	1574
MIR6505	0	0	0	1	0	0
ASB8	671	537	729	727	659	515
LOC102723858	0	0	0	0	0	1
C12orf68	13	7	6	11	3	6
OR10AD1	0	0	0	0	0	0
H1FNT	1	0	1	0	0	0
ZNF641	495	379	453	461	417	332
LOC102723866	2	2	0	4	1	1
ANP32D	16	16	17	14	10	16
C12orf54	3	7	5	13	12	8
OR8S1	0	0	1	1	0	0
LALBA	0	0	0	0	0	0
KANSL2	1674	1391	1833	1782	1551	1263
SNORA34	14	3	12	14	13	2
SNORA2A	2	6	0	4	3	1
SNORA2B	1	1	2	1	5	3
CCNT1	3333	3017	3524	3734	3204	2659
LINC00935	0	0	0	0	0	0
ADCY6	2113	1858	2220	2154	1890	1432
MIR4701	4	2	1	0	2	4
RP11-579D7.4	8	6	4	6	5	1
LOC102723881	0	0	0	0	0	0
LOC101927241	0	0	3	2	1	0
CACNB3	354	311	412	374	339	297
DDX23	4084	3671	4629	4184	3813	3134
RND1	15	18	13	27	17	12
CCDC65	28	26	24	38	42	33
FKBP11	389	336	483	379	353	278
ARF3	10336	8979	11419	10951	9526	7829
WNT10B	113	98	125	130	122	72
LOC102723907	0	0	0	0	0	0
WNT1	0	0	0	0	0	0
DDN	189	149	191	161	129	107
PRKAG1	1233	1257	1473	1236	1117	1012
KMT2D	7164	6401	7768	7868	6899	5770
RHEBL1	44	27	36	16	15	15
DHH	0	0	1	1	1	0
LMBR1L	177	181	208	166	152	128
TUBA1B	41634	35549	47497	40799	36000	27931
TUBA1A	711	655	808	768	653	576
LOC102723916	1	0	0	0	0	0
TUBA1C	14683	12811	17142	16042	14261	11507
RP11-161H23.9	15	10	15	37	19	17
PRPH	1	2	2	3	0	1
TROAP	1694	1439	2099	1831	1589	1293
C1QL4	9	9	14	8	5	5
DNAJC22	48	31	48	52	67	41
SPATS2	1835	1542	1996	1909	1698	1438
LOC100335030	14	14	6	12	18	16
KCNH3	5	13	10	11	14	12
MCRS1	1594	1489	1797	1648	1452	1177
FAM186B	32	21	32	37	22	21
PRPF40B	231	191	273	281	195	182
FMNL3	309	283	350	323	282	243
TMBIM6	39546	34611	42338	40865	36727	30216
NCKAP5L	588	526	693	719	643	442
BCDIN3D-AS1	30	26	24	25	12	19
BCDIN3D	57	64	58	54	60	49
FAIM2	1	0	0	0	1	0
RP11-70F11.11	0	0	0	0	0	0
RP11-70F11.8	0	0	0	0	0	0
LOC102723941	0	0	0	0	0	0
AQP2	2	0	0	0	0	0
LOC101927318	0	0	0	0	0	0
AQP5	1	3	0	0	0	0
AQP6	5	8	5	7	4	4
LOC102723963	1	0	0	0	1	0
RACGAP1	5395	4810	5968	5047	4503	3717
ASIC1	162	147	196	159	139	121
SMARCD1	3081	2558	3407	3128	2767	2413
GPD1	0	0	1	1	6	1
COX14	387	327	443	417	332	287
CERS5	636	599	731	660	611	524
LOC101927340	13	19	22	14	16	16
LIMA1	4334	3685	4789	4749	4242	3584
MIR1293	0	0	1	1	0	0
FAM186A	12	9	8	9	10	4
LARP4	4803	3949	4920	4578	4304	3481
DIP2B	3091	2767	3436	3242	2988	2477
ATF1	1124	914	1104	1066	942	801
TMPRSS12	0	0	0	0	0	0
METTL7A	290	263	283	214	207	207
HIGD1C	1	1	1	3	1	0
SLC11A2	1341	1103	1442	1239	1131	876
LETMD1	650	637	741	694	608	456
CSRNP2	795	729	917	962	823	805
TFCP2	1584	1363	1645	1633	1528	1305
POU6F1	92	97	112	80	80	61
DAZAP2	8899	7902	9874	8594	7741	6698
SMAGP	384	339	474	390	344	315
LOC102723983	26	28	42	18	19	15
BIN2	0	0	0	1	0	0
CELA1	0	0	0	0	0	0
GALNT6	369	389	480	529	443	328
SLC4A8	46	31	33	48	44	36
SCN8A	240	247	312	287	273	218
FIGNL2	20	9	12	14	12	10
ANKRD33	0	0	0	0	0	0
ACVRL1	1	0	1	0	2	2
ACVR1B	1207	1027	1369	1115	964	833
GRASP	3	5	4	6	3	7
LOC102723998	0	0	1	1	0	0
NR4A1	716	565	681	838	777	586
C12orf44	917	694	981	914	831	594
KRT80	4105	3431	4878	5681	4984	3885
C12orf80	5	2	8	8	6	4
LINC00592	11	27	25	22	15	12
KRT7	1357	985	1435	2269	1937	1618
KRT86	92	61	102	110	84	88
KRT81	21	33	44	113	79	67
KRT83	7	12	10	29	15	9
KRT85	0	0	0	1	2	4
KRT84	0	0	2	0	0	0
KRT82	0	0	0	0	0	0
KRT75	23	11	19	35	34	20
KRT6B	9	17	5	7	9	2
KRT6C	0	1	3	1	2	0
KRT6A	2212	2164	2141	2567	2386	1904
KRT5	124709	103602	135243	121946	106956	91221
KRT71	1	1	1	1	2	0
KRT74	7	5	10	12	10	12
KRT72	0	0	0	0	1	1
KRT73	0	0	1	0	0	0
KRT73-AS1	0	0	0	0	0	0
KRT2	0	0	0	1	0	0
KRT1	0	1	3	0	1	2
KRT77	0	1	0	2	0	0
KRT76	0	0	1	1	0	0
KRT3	30	12	18	19	12	11
KRT4	835	667	739	715	655	660
KRT79	3	1	3	3	10	6
KRT78	10	7	14	29	15	11
KRT8	50543	39765	56000	73482	63152	53139
KRT18	23853	18561	26504	38206	32202	27517
EIF4B	16329	13676	17708	14622	13223	11009
RP11-983P16.4	33	34	49	24	43	37
TENC1	128	90	168	156	117	96
MIR6757	0	0	0	0	0	0
SPRYD3	657	674	846	550	511	385
IGFBP6	1668	1495	1732	1386	1129	1033
SOAT2	2	1	4	3	1	1
CSAD	180	149	190	219	196	164
ZNF740	1609	1348	1730	1512	1315	1188
ITGB7	63	58	61	59	57	26
RARG	4899	4234	5045	3975	3587	2858
MFSD5	438	433	562	511	399	323
ESPL1	2553	2384	2905	2392	2103	1603
PFDN5	3069	2550	3353	3113	2773	2248
C12orf10	669	576	708	635	526	448
AAAS	1107	1000	1211	1062	915	770
SP7	1	0	0	0	0	0
SP1	6778	5311	6748	5741	5369	4209
AMHR2	0	0	0	0	0	1
PRR13	2415	2045	2639	2531	2242	1878
PCBP2	18818	16174	20471	18713	16808	14061
PCBP2-OT1	6	7	2	10	4	5
MAP3K12	194	149	194	240	208	183
TARBP2	440	401	470	503	420	328
NPFF	15	24	16	19	13	11
ATF7	1243	1117	1348	1264	1231	946
RP11-793H13.3	0	2	0	2	0	1
ATP5G2	1992	1850	2242	1720	1582	1275
CALCOCO1	343	292	317	328	261	283
CISTR	0	0	0	0	0	0
HOXC13-AS	39	14	23	21	28	22
HOXC13	152	121	146	194	123	98
HOXC12	25	17	25	24	10	14
HOTAIR	72	59	58	54	65	38
HOXC11	209	180	202	200	120	116
HOXC-AS3	22	17	20	18	12	6
HOXC10	639	577	672	572	565	492
MIR196A2	0	0	3	0	0	0
HOXC-AS2	34	34	30	34	19	22
HOXC-AS1	29	35	26	17	21	12
HOXC9	125	136	137	113	126	104
HOXC8	185	174	176	170	140	173
HOXC4	564	479	629	483	456	345
HOXC5	85	62	83	79	71	44
HOXC6	253	187	242	258	268	232
MIR615	0	1	0	0	0	0
FLJ12825	27	20	27	21	15	13
LOC100240735	0	3	5	0	0	2
LOC100240734	0	0	0	0	0	0
LOC400043	124	105	108	95	99	65
LOC102724030	5	2	8	2	2	2
SMUG1	620	516	711	694	614	462
CBX5	24175	19329	24729	25965	24048	18359
MIR3198-2	0	0	0	0	0	0
HNRNPA1	37447	30565	40113	33995	30570	26612
NFE2	15	12	15	11	10	4
COPZ1	4706	4027	5347	5088	4422	3637
MIR148B	0	0	1	0	0	1
GPR84	1	0	3	3	2	0
ZNF385A	3238	2874	3570	3459	2905	2442
ITGA5	1120	1166	1457	1161	984	780
LOC102724050	0	0	0	0	0	1
GTSF1	2	0	0	0	0	0
NCKAP1L	2	1	5	2	0	1
PDE1B	0	0	4	0	2	3
PPP1R1A	0	0	0	0	1	1
GLYCAM1	0	0	0	0	0	0
LACRT	0	0	0	0	0	0
DCD	0	0	0	0	0	0
MUCL1	0	1	0	0	0	1
TESPA1	0	0	0	0	1	0
NEUROD4	0	0	0	2	0	0
LOC101927484	0	0	0	0	0	0
OR9K2	2	0	0	0	0	0
OR10A7	0	0	0	0	0	0
OR6C74	0	0	0	0	0	0
OR6C6	0	0	0	0	0	0
OR6C1	0	0	0	0	0	0
OR6C3	0	0	0	0	0	0
OR6C75	0	0	0	0	0	0
OR6C65	0	0	0	0	0	0
OR6C76	0	0	0	0	0	0
LOC102724074	3	2	4	0	4	0
OR6C2	0	0	0	0	1	0
OR6C70	0	0	2	0	0	0
OR6C68	0	0	0	0	0	0
OR6C4	0	0	0	0	0	0
OR2AP1	0	0	0	0	0	0
OR10P1	0	0	0	0	0	0
METTL7B	2	1	5	7	2	3
ITGA7	15	13	16	29	23	16
BLOC1S1-RDH5	0	0	0	0	0	0
BLOC1S1	100	104	100	99	92	91
RDH5	5	2	3	8	4	6
CD63	6110	5304	6816	6902	6003	5350
GDF11	1034	961	1192	1460	1277	1130
SARNP	1511	1206	1705	1520	1365	1265
ORMDL2	792	690	877	890	800	635
DNAJC14	2646	2284	2778	2538	2272	1818
TMEM198B	140	108	161	181	183	139
MMP19	12	9	10	19	31	16
LOC102724095	0	0	0	0	0	0
WIBG	841	659	884	851	819	634
LOC102724112	37	35	50	29	45	19
DGKA	1611	1354	1550	1579	1361	1090
PMEL	106	88	143	124	110	88
CDK2	4008	3426	4550	4313	3758	3144
RAB5B	5435	4532	5725	5791	5354	4374
SUOX	585	519	602	655	568	434
IKZF4	417	377	494	442	353	301
RPS26	4593	3802	5183	5168	4338	3521
ERBB3	3029	2696	3185	3191	2817	2416
PA2G4	13477	11638	14995	12881	11778	9909
RPL41	11132	8927	11500	10037	8858	8826
ZC3H10	202	182	219	185	167	144
ESYT1	4411	3831	4968	5164	4457	3678
MYL6B	1319	1070	1460	1373	1194	1006
MYL6	16407	14124	17740	18110	15906	13849
SMARCC2	5529	4707	5704	4940	4468	3788
TRNAS11	0	0	0	0	0	0
RNF41	1971	1717	2262	2179	1853	1545
NABP2	2248	1928	2549	2253	2133	1599
SLC39A5	1	0	5	3	2	5
ANKRD52	5088	4342	5474	4905	4440	3553
COQ10A	189	161	204	232	175	136
CS	9931	8706	11300	9831	8657	6964
LOC102724133	0	0	0	0	0	0
CNPY2	1917	1727	2101	2105	1848	1484
PAN2	1321	1085	1206	1379	1168	1005
IL23A	17	19	27	33	16	27
STAT2	1717	1434	1546	1420	1336	960
APOF	1	0	1	0	0	0
TIMELESS	4214	3752	4680	4107	3665	2899
MIP	3	5	5	4	5	4
SPRYD4	389	361	492	385	406	304
GLS2	320	287	376	357	268	229
RBMS2	2707	2106	2749	2540	2328	1623
BAZ2A	10967	9263	12047	11193	10392	8545
ATP5B	20570	18105	23365	22566	20161	15982
SNORD59B	0	1	0	2	0	0
SNORD59A	1	3	5	2	3	2
PTGES3	23463	19819	25413	22227	20122	16587
NACA	15511	13922	17642	15667	14139	11990
PRIM1	1353	1247	1516	1350	1264	1041
HSD17B6	83	56	91	103	83	69
SDR9C7	1	0	4	1	1	2
RDH16	18	11	8	14	6	9
GPR182	4	2	1	0	2	0
HBCBP	1	2	1	0	0	1
ZBTB39	951	738	974	813	681	559
TAC3	0	0	0	3	5	0
MYO1A	2	5	9	4	9	3
TMEM194A	4253	3760	4485	4311	3831	3059
NAB2	1519	1323	1590	1419	1233	1035
STAT6	4350	3971	4828	4260	3701	3299
LRP1	3954	3868	4302	4089	3630	2909
MIR1228	0	0	0	0	0	0
NXPH4	452	446	547	491	435	331
SHMT2	7390	6942	8671	7381	6707	4999
NDUFA4L2	32	18	36	15	23	20
STAC3	30	21	31	32	25	25
R3HDM2	1973	1762	2241	1869	1635	1411
LOC102724177	3	1	10	0	1	2
LOC102724160	0	0	1	1	3	0
INHBC	28	29	46	34	35	38
INHBE	33	32	48	29	29	18
GLI1	34	28	32	19	29	13
ARHGAP9	5	1	6	8	2	3
MARS	6147	5350	6780	6013	5005	4156
MIR6758	4	1	2	3	2	2
DDIT3	179	156	162	181	150	132
MIR616	1	3	7	5	3	2
MBD6	2319	1988	2498	2472	2226	1859
DCTN2	3088	2676	3517	3085	2762	2290
KIF5A	3	1	7	6	5	2
PIP4K2C	2197	1906	2501	2482	2088	1735
DTX3	715	633	733	771	616	546
ARHGEF25	481	389	528	467	378	304
LOC101927583	3	6	4	5	5	1
SLC26A10	2	2	5	7	2	10
B4GALNT1	412	343	423	478	353	324
OS9	6399	5306	6797	6250	5587	4934
AGAP2	53	44	54	46	59	39
AGAP2-AS1	11	11	14	13	9	13
TSPAN31	689	623	840	701	619	451
CDK4	5320	4758	5972	5291	4619	3794
MIR6759	6	4	2	1	0	2
MARCH9	307	301	331	334	281	199
CYP27B1	117	138	175	165	134	93
METTL1	420	416	492	520	394	344
METTL21B	272	260	305	246	251	171
TSFM	721	645	811	781	700	547
AVIL	37	49	46	61	63	33
CTDSP2	4455	3863	4816	3859	3444	2616
MIR26A2	1	1	0	1	2	0
RP11-620J15.2	0	0	0	0	0	0
LOC102724211	2	0	0	0	2	1
LOC101927608	0	0	0	0	0	0
RP11-620J15.3	44	38	64	47	37	25
XRCC6BP1	1	2	3	1	3	2
RP11-767I20.1	0	0	0	0	0	0
LOC100506869	0	0	0	0	0	0
LRIG3	457	383	456	375	340	255
SLC16A7	1106	943	1067	864	827	629
LOC100996696	15	19	20	14	12	23
FAM19A2	8	19	18	18	20	9
LOC102724280	8	8	14	4	4	2
USP15	2188	1875	2309	2347	2095	1764
MIR6125	0	0	0	0	0	0
MON2	2295	2099	2497	2601	2252	1949
LOC102724318	0	1	2	1	1	0
LOC101927719	3	1	1	1	0	2
C12orf61	5	12	9	12	8	8
MIRLET7I	2	1	1	1	0	0
PPM1H	784	679	867	1025	795	654
LOC102724337	0	0	0	0	0	0
AVPR1A	0	0	0	0	0	0
DPY19L2	30	16	30	35	28	21
TMEM5	904	785	961	928	814	620
SRGAP1	2609	2189	2854	2317	2178	1670
C12orf66	560	483	630	578	476	347
C12orf56	54	42	56	68	58	40
XPOT	9499	8098	10607	8821	7983	6484
TBK1	2968	2387	2974	2815	2575	2241
RASSF3	1383	1167	1428	1279	1061	878
MIR548C	0	0	0	0	0	0
MIR548Z	0	0	0	0	0	0
GNS	4588	4049	4924	4595	4093	3374
TBC1D30	268	247	273	247	231	138
FLJ41278	0	0	1	4	0	1
WIF1	0	0	2	0	1	0
LEMD3	2303	2068	2618	2728	2574	2086
MSRB3	1012	806	1138	1232	1156	878
RP11-230G5.2	0	0	0	0	0	0
RPSAP52	8	0	2	6	4	2
HMGA2	130	119	151	188	173	130
LOC100129940	0	2	1	5	6	3
LOC101927810	0	0	7	1	0	0
MIR6074	0	0	0	0	0	0
LLPH	1548	1255	1668	1610	1427	1221
TMBIM4	613	488	599	644	557	408
IRAK3	316	310	317	353	322	256
MIR6502	0	0	0	0	0	0
HELB	294	234	253	282	254	174
GRIP1	238	192	204	202	159	156
LOC102724421	0	0	0	0	0	0
CAND1	11388	9867	12438	11615	10420	8564
LOC102724433	0	0	0	0	0	0
RP11-542B15.1	0	1	0	0	0	0
DYRK2	1613	1295	1766	1447	1233	1079
RP11-43N5.1	0	0	0	0	0	0
LOC101927922	0	0	0	0	0	0
IFNG-AS1	0	0	0	0	0	0
IFNG	0	0	0	0	0	0
IL26	0	0	0	0	1	0
IL22	0	0	0	0	0	0
MDM1	454	438	509	463	439	389
LOC100507195	0	0	0	1	0	1
RP11-81H14.2	0	0	0	0	0	0
RAP1B	3844	3221	4396	4251	3873	3305
SNORA70G	1	0	0	0	0	0
RP11-637A17.2	6	7	21	8	7	1
NUP107	2818	2541	2802	2740	2311	1971
SLC35E3	335	337	411	392	334	271
LOC100130075	0	1	0	1	0	0
MDM2	3802	3322	4204	3676	3356	2710
CPM	93	101	106	99	98	74
CPSF6	5224	4500	5504	4822	4446	3747
MIR1279	0	0	0	0	0	0
LYZ	0	1	3	0	0	0
YEATS4	1090	951	1160	1036	904	762
FRS2	1709	1447	1822	1859	1700	1343
MIR3913-1	0	0	0	0	0	0
MIR3913-2	0	0	0	0	0	0
CCT2	14228	12367	15683	15167	13373	11091
LRRC10	0	0	0	0	1	0
BEST3	11	7	10	14	15	17
RP11-588G21.2	0	0	0	0	0	0
RAB3IP	1135	909	1194	1151	1003	849
MYRFL	5	8	4	6	4	10
LOC101928062	5	1	0	2	5	0
CNOT2	2689	2266	2705	2627	2345	2007
KCNMB4	513	443	595	612	595	474
PTPRB	113	103	133	105	90	114
PTPRR	24	17	24	20	23	17
TSPAN8	0	0	0	2	0	0
LGR5	0	2	0	2	2	2
ZFC3H1	3691	3158	3922	3521	3089	2565
THAP2	224	207	227	231	225	167
TMEM19	2177	1801	2167	2206	2056	1646
RAB21	3462	2810	3551	3799	3367	2806
TBC1D15	1294	1119	1324	1201	1088	993
MRS2P2	2	3	3	3	1	0
TPH2	1	0	0	0	0	0
TRHDE-AS1	17	12	15	9	15	3
TRHDE	9	8	14	13	9	12
RP11-314D7.2	7	6	8	7	3	0
RP11-81H3.2	1	0	1	0	0	0
ATXN7L3B	3168	2732	3374	3079	2608	2062
KCNC2	0	0	0	0	0	0
LOC101928157	0	0	0	0	0	0
CAPS2	98	78	91	91	91	74
GLIPR1L1	13	18	23	33	20	14
GLIPR1L2	22	19	22	25	21	10
GLIPR1	501	407	552	578	529	435
KRR1	1582	1342	1808	1645	1637	1301
PHLDA1	982	761	830	1156	998	840
NAP1L1	24577	20903	26456	23025	20797	17877
BBS10	776	680	813	665	682	504
OSBPL8	7322	6351	7663	7488	7135	5743
ZDHHC17	1242	951	1145	1227	1086	828
CSRP2	665	542	642	611	607	441
E2F7	2228	1917	2549	2137	1950	1622
NAV3	145	177	174	176	165	131
LOC101928207	0	0	0	0	0	0
SYT1	823	662	765	582	534	470
MIR1252	0	0	0	0	0	0
PAWR	5072	4443	5216	5007	4465	3601
PPP1R12A	5665	4870	5855	5929	5394	4533
LOC101928367	0	0	0	0	1	0
OTOGL	1	3	8	2	6	2
PTPRQ	20	9	19	17	25	7
MYF6	0	0	0	0	1	0
MYF5	0	0	0	0	0	0
RP11-540D4.3	0	0	0	0	0	0
LIN7A	3	3	3	4	3	1
MIR617	0	0	0	0	0	0
MIR618	0	0	0	0	0	0
ACSS3	0	0	0	0	0	0
MIR4699	0	0	0	0	0	0
PPFIA2	4	1	4	11	9	4
LOC102724663	0	0	0	0	0	0
RP11-362A1.1	0	0	0	0	0	0
CCDC59	1444	1173	1545	1347	1273	1158
METTL25	95	84	95	107	90	62
TMTC2	218	147	180	199	159	141
SLC6A15	2458	2228	2840	2091	1913	1495
LOC102724680	0	0	0	0	2	0
TSPAN19	4	6	6	1	6	4
LRRIQ1	13	15	15	18	10	17
ALX1	115	104	127	121	102	68
RASSF9	48	48	65	56	48	29
LOC102724721	0	0	0	0	0	0
NTS	3	6	4	9	7	6
MGAT4C	0	1	0	0	0	0
LOC102724735	0	0	0	0	0	0
MKRN9P	4	11	8	5	3	10
C12orf50	0	0	0	4	1	0
C12orf29	775	637	809	776	726	604
CEP290	1553	1340	1607	1489	1321	1159
TMTC3	3607	3238	3723	3209	2878	2461
KITLG	2275	1849	2159	1965	1819	1461
RP11-13A1.1	0	1	0	0	2	0
DUSP6	305	248	211	542	416	353
POC1B	815	685	922	776	776	581
POC1B-GALNT4	0	0	0	0	0	0
GALNT4	16	11	9	10	17	5
LOC102724782	19	24	31	22	25	19
LOC102724811	6	6	9	7	12	6
ATP2B1	3310	2915	3676	3214	2945	2433
LINC00936	7	8	13	13	10	5
LOC102724834	0	0	0	0	0	0
LINC00615	0	1	0	3	0	0
CCER1	0	0	0	0	0	0
EPYC	0	0	0	0	0	0
KERA	0	0	0	0	0	0
LUM	0	0	0	0	0	0
DCN	0	0	0	0	0	0
LOC101928584	0	0	0	0	0	0
C12orf79	3	1	0	5	1	2
BTG1	1508	1267	1488	1434	1345	992
LOC101928617	4	0	4	5	4	3
CLLU1OS	0	0	0	0	0	0
CLLU1	0	0	0	0	0	0
LOC100507616	0	0	0	0	0	0
C12orf74	0	0	0	0	0	0
PLEKHG7	1	0	1	4	2	0
EEA1	2643	2304	2812	2193	2082	1866
RP11-486A14.2	0	2	0	1	0	0
LOC102724901	0	0	0	0	0	0
LOC102724933	0	0	0	0	0	0
NUDT4	1560	1164	1632	1378	1215	993
LOC102724944	1	3	2	0	1	0
UBE2N	4932	4462	5454	5252	4544	3843
MRPL42	3273	2804	3500	3458	3291	2502
SOCS2-AS1	23	18	24	27	14	16
SOCS2	1246	1295	1607	1560	1364	1034
CRADD	120	98	125	106	91	81
RP11-887P2.5	0	0	0	0	0	0
PLXNC1	140	130	163	155	125	133
CCDC41	714	630	749	693	628	515
CCDC41-AS1	22	39	39	26	25	20
LOC102724960	0	0	0	0	0	0
MIR5700	1	1	1	2	0	2
TMCC3	725	611	792	675	607	470
MIR7844	0	0	0	0	0	0
MIR492	0	0	0	0	0	0
KRT19P2	0	0	0	0	2	0
NDUFA12	1566	1278	1580	1530	1422	1194
NR2C1	843	783	864	847	762	627
FGD6	1496	1184	1496	1591	1415	1118
VEZT	2321	2015	2451	2410	2230	1822
MIR331	3	5	0	2	1	0
MIR3685	18	12	18	13	6	10
LOC101928779	0	0	0	0	0	0
METAP2	6595	5563	7428	7002	6602	5363
USP44	5	0	3	7	7	7
PGAM1P5	7	2	2	8	2	10
NTN4	286	233	244	206	179	170
SNRPF	2658	2339	3009	2857	2361	2045
CCDC38	13	4	2	5	5	2
AMDHD1	12	14	7	12	13	7
HAL	14	11	11	20	16	23
LOC102723340	2	1	0	0	0	0
LTA4H	4443	3765	5025	4501	4028	3442
LOC101928830	71	69	77	74	51	58
TRNAD12	2	0	0	0	0	0
ELK3	2206	2093	2424	2074	2078	1590
CDK17	1166	1052	1202	1118	1050	887
C12orf55	20	18	18	14	5	6
NEDD1	3444	2979	3371	2845	2711	2097
LOC101928912	0	0	0	0	0	0
RMST	0	0	0	0	0	0
MIR1251	0	0	0	0	0	0
MIR135A2	0	0	0	0	0	0
LOC643711	1	0	0	1	1	0
RNU6-36P	2	5	7	8	7	9
MIR4495	0	0	0	0	0	0
MIR4303	0	0	0	0	0	0
SLC9A7P1	42	37	33	39	47	22
LOC643770	14	11	14	9	22	10
TRNAD10	0	0	0	2	0	0
TRNAW5	4	0	0	3	0	0
TMPO-AS1	236	189	227	273	243	212
TMPO	16884	13774	17661	15377	14137	11489
SLC25A3	16694	14286	18572	17440	14970	12043
SNORA53	3	4	5	2	1	0
