Gene	SRR11319298	SRR11319299	SRR11319300	SRR11319307	SRR11319308	SRR11319309
PTCH2	28	19	24	28	16	10
EIF2B3	899	892	1100	1125	1003	817
HECTD3	1233	980	1307	1287	1105	907
UROD	1315	1167	1498	1292	1215	960
ZSWIM5	175	115	172	241	197	134
LINC01144	50	17	26	15	13	14
HPDL	124	115	148	99	90	62
MUTYH	562	519	695	637	595	421
TOE1	517	442	570	685	526	447
TESK2	272	237	266	254	229	187
CCDC163P	69	62	85	77	49	49
MMACHC	644	554	771	681	583	443
PRDX1	19683	16870	21166	21597	18898	15917
AKR1A1	1758	1716	2128	1921	1727	1343
NASP	9067	7773	9688	9004	8047	7167
CCDC17	81	72	79	99	71	56
GPBP1L1	6196	5312	6418	5905	5367	4429
RPS15AP10	23	16	21	22	24	13
TMEM69	2319	2085	2667	2659	2325	1873
IPP	1030	906	1151	1223	1117	900
MAST2	3568	3244	3920	4152	3699	2834
PIK3R3	1955	1564	1641	1842	1720	1383
RP4-533D7.5	3	5	1	5	1	4
TSPAN1	1044	1026	1109	1089	944	734
LOC102724021	0	0	0	0	0	0
POMGNT1	2677	2267	2863	2748	2549	2019
LURAP1	5	6	4	3	11	6
RAD54L	1731	1503	2084	1784	1560	1321
LOC102724045	6	3	1	4	5	1
LOC102724033	1	1	1	0	1	0
LRRC41	3020	2671	3363	3178	2768	2191
UQCRH	5267	4736	5973	6377	5450	4588
NSUN4	1470	1283	1563	1524	1480	1100
FAAH	370	295	356	345	315	262
LOC729041	3	4	4	6	8	9
RP5-1109J22.2	0	0	0	1	0	1
DMBX1	33	54	53	45	34	27
MKNK1-AS1	18	12	26	18	15	16
KNCN	0	0	0	0	0	0
MKNK1	1008	826	1100	1104	1016	816
LOC101929673	4	4	2	6	3	9
MOB3C	463	390	450	543	446	408
ATPAF1	1926	1693	2089	2084	1982	1576
TEX38	2	1	0	2	0	1
EFCAB14-AS1	3	5	7	4	8	4
EFCAB14	5783	5183	6199	5976	5501	4644
CYP4B1	2	1	4	3	4	1
CYP4Z2P	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0
CYP4X1	8	3	16	10	12	11
CYP4Z1	1	1	2	3	0	3
CYP4A22	0	1	0	2	0	2
LINC00853	12	12	13	5	9	15
PDZK1IP1	5	5	1	5	11	5
TAL1	12	16	8	13	24	10
STIL	4014	3760	4730	4681	4148	3570
CMPK1	9574	8354	10277	10458	9621	8002
LOC102724077	15	20	18	16	19	15
FOXE3	2	1	3	1	1	0
FOXD2-AS1	199	159	181	100	93	68
FOXD2	118	97	113	56	90	45
TRABD2B	7	6	11	13	5	7
SKINTL	0	0	0	3	3	0
SLC5A9	1	0	2	3	0	2
SPATA6	215	179	213	161	166	160
LOC102724088	0	0	0	0	0	0
AGBL4	46	39	41	43	55	41
BEND5	21	28	24	13	21	19
AGBL4-IT1	0	0	0	0	0	0
ELAVL4	0	0	0	0	0	0
DMRTA2	210	203	244	262	210	201
FAF1	3146	2887	3495	3377	3008	2495
CDKN2C	898	743	967	1041	982	786
C1orf185	4	11	9	14	18	9
MIR4421	0	0	0	0	0	0
MIR6500	0	0	0	0	0	0
RNF11	3233	2857	3452	3952	3467	2911
TTC39A	20	41	37	42	31	44
LOC102724097	0	0	0	0	1	0
EPS15	4049	3580	4533	4142	3796	2993
OSBPL9	5926	5252	6648	6593	5628	4986
NRD1	9059	7856	9784	10129	9198	7783
MIR761	0	0	0	0	0	0
RAB3B	275	302	351	632	558	410
TXNDC12	3741	2975	3937	3888	3414	2976
KTI12	0	0	0	0	0	0
BTF3L4	3081	2548	3386	3233	2945	2426
ZFYVE9	1909	1597	2006	1981	1738	1424
CC2D1B	1056	953	1146	1272	1072	873
ORC1	2042	1868	2473	2522	2252	1796
PRPF38A	3688	3091	3833	4060	3600	3150
ZCCHC11	2955	2404	2855	2845	2574	2194
GPX7	0	0	0	1	2	2
FAM159A	0	1	0	0	0	3
COA7	1559	1299	1741	1520	1327	1128
ZYG11B	3465	2923	3793	4020	3634	2985
ZYG11A	316	240	337	321	290	236
ECHDC2	149	114	134	166	135	105
SCP2	4296	3650	4330	4464	4075	3331
MIR1273F	0	0	0	1	0	0
MIR5095	0	0	0	0	0	0
MIR1273G	2	0	0	0	0	0
PODN	0	0	0	2	0	2
SLC1A7	0	0	1	0	1	1
LOC102724114	0	0	0	0	0	0
CPT2	1507	1286	1610	1886	1610	1307
C1orf123	815	612	764	739	674	597
MAGOH	2416	2142	2498	2487	2253	1964
RP5-1024G6.5	9	18	15	19	16	11
LRP8	1578	1482	1931	1531	1370	1154
LOC102724125	0	0	0	0	0	0
SLC25A3P1	0	0	0	0	0	0
DMRTB1	0	0	0	0	0	0
GLIS1	0	1	2	2	6	4
NDC1	7661	6840	8524	8260	7577	5717
YIPF1	577	516	625	518	535	432
DIO1	8	3	3	7	11	2
HSPB11	1374	1230	1474	1481	1334	1212
LRRC42	2068	1939	2498	2418	2115	1708
LDLRAD1	0	0	0	0	0	0
TMEM59	5022	4351	5265	5540	4899	4053
TCEANC2	626	499	663	668	578	511
MIR4781	0	0	1	0	0	1
CDCP2	0	1	0	0	0	3
CYB5RL	243	224	285	249	213	150
MRPL37	4403	3889	5149	5078	4389	3725
SSBP3	1703	1410	1538	1657	1341	1199
SSBP3-AS1	9	23	21	26	29	19
ACOT11	73	63	77	116	71	71
FAM151A	3	6	3	8	4	6
MROH7-TTC4	1	0	0	0	0	0
MROH7	0	0	0	0	0	0
TTC4	11	7	19	8	19	4
PARS2	442	396	417	507	393	312
TTC22	71	73	66	63	42	44
C1orf177	1	1	2	3	4	3
DHCR24	19304	16597	20611	22288	19551	15916
TRNAK-CUU	0	0	0	0	0	0
TMEM61	8	8	12	16	12	6
BSND	0	0	0	1	0	2
PCSK9	2835	2521	3228	3372	3001	2292
USP24	7985	7294	8764	8501	7693	6288
LOC100507634	31	26	30	49	35	18
MIR4422	0	0	0	0	0	0
LOC102724140	0	0	0	0	0	0
PPAP2B	345	286	321	351	325	256
PRKAA2	259	189	283	277	233	154
LOC102724154	0	0	0	0	0	1
C1orf168	1	0	0	0	1	0
LOC101929757	0	0	0	0	0	0
C8A	0	0	0	0	0	0
C8B	0	1	2	0	0	2
DAB1	0	0	0	0	1	0
DAB1-AS1	0	0	0	0	0	0
OMA1	506	348	416	373	351	262
TACSTD2	18112	15168	18928	17251	15441	13002
MYSM1	2458	1971	2506	2642	2266	1967
JUN	1839	1274	1433	1877	1579	1281
LINC01135	1	1	2	0	3	2
LOC101926907	84	88	92	76	57	66
RP4-794H19.4	2	5	3	0	2	2
HSD52	1	0	1	1	1	2
FGGY	166	129	149	161	143	132
MIR4711	0	0	0	0	0	0
RP4-782L23.1	2	0	0	2	5	0
HOOK1	3384	2966	3785	4005	3561	2966
CYP2J2	86	95	104	101	90	63
C1orf87	0	0	0	0	0	0
RP11-436K8.1	0	0	0	0	0	0
LOC100996570	0	0	0	0	0	0
NFIA	2403	1972	2673	2460	2286	1752
LOC102724281	2	3	2	3	7	1
RP5-833A20.1	1	1	0	2	0	3
MGC34796	0	0	0	0	0	0
TM2D1	1023	772	984	985	921	743
INADL	4577	3839	4649	4779	4234	3278
MIR3116-1	0	0	0	0	0	0
MIR3116-2	0	0	0	0	0	0
L1TD1	2	0	0	1	0	0
KANK4	9	7	5	14	15	6
USP1	8754	7250	9671	9159	8153	6911
DOCK7	3091	2777	3555	3508	3092	2570
ANGPTL3	1	3	3	3	1	5
RP11-230B22.1	15	3	12	5	9	5
ATG4C	963	771	903	971	888	716
LINC00466	1	7	7	5	7	5
LOC100996301	99	58	96	89	88	62
FOXD3	35	59	83	46	46	45
MIR6068	0	0	0	0	0	0
ALG6	1018	927	1063	1106	950	792
ITGB3BP	856	722	887	811	752	674
LOC102724319	0	1	0	5	1	1
EFCAB7	459	358	457	412	411	319
DLEU2L	29	24	18	26	21	12
PGM1	3379	2923	3671	3633	3051	2537
ROR1	23	10	16	27	15	6
RP11-24J23.2	0	0	0	0	0	0
UBE2U	0	0	0	0	0	2
CACHD1	275	268	365	354	294	292
LOC101927065	0	3	1	2	2	1
MIR4794	0	0	0	0	0	0
RAVER2	1646	1488	1785	1886	1646	1401
JAK1	7175	6366	7913	7628	6890	5848
RP11-182I10.3	2	1	1	3	0	2
MIR3671	1	2	1	0	1	1
MIR101-1	0	0	0	0	0	0
AK4	4720	4091	5240	4925	4643	3543
DNAJC6	630	608	711	921	802	688
LOC102724416	0	0	4	0	1	0
LEPROT	2955	2687	3120	3064	2711	2200
LEPR	234	187	202	228	208	139
PDE4B	6	2	4	5	7	3
RP11-397C12.1	0	0	0	0	0	0
SGIP1	0	1	0	4	0	1
MIR3117	0	0	0	0	0	0
TCTEX1D1	0	0	0	0	0	0
INSL5	0	0	0	0	0	1
WDR78	57	68	48	60	73	45
MIER1	3037	2565	3130	2902	2732	2391
SLC35D1	1287	1027	1290	1276	1109	896
C1orf141	0	0	0	0	0	0
IL23R	0	0	0	0	0	0
IL12RB2	23	8	23	16	33	13
SERBP1	30749	25718	32904	30405	27492	23078
LOC102724481	0	0	0	0	0	0
GADD45A	419	419	466	613	483	401
GNG12	7115	6343	7403	8149	7580	6191
GNG12-AS1	4	1	5	4	5	5
DIRAS3	20	10	13	28	22	12
WLS	4389	4058	4861	4832	4361	3376
LOC101929986	127	92	141	179	151	117
MIR1262	0	0	0	0	0	0
RPE65	141	122	134	169	161	110
DEPDC1	5805	4616	5987	5679	5118	4304
RP4-694A7.4	28	27	32	27	33	20
LRRC7	13	10	25	24	25	14
PIN1P1	0	0	0	0	0	0
LRRC40	2049	1800	2148	2186	1942	1621
SRSF11	7441	6494	7619	8435	7595	6579
ANKRD13C	2035	1646	2072	2232	2040	1723
HHLA3	319	229	350	357	323	253
LOC102724548	4	3	12	3	7	1
CTH	109	124	120	129	117	90
RP5-952N6.1	0	0	0	0	0	0
LOC102724572	0	0	0	0	0	0
