"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"MAP1B",489.073180626283,1.04963597783971,0.0937357289773679,11.1978216768671,2.71848975997892e-07,6.08816237477124e-05,"MAP1B"
"SPOCK1",278.91872884811,-2.47181283647971,0.138852134838998,-17.8017632883054,1.42873052367494e-42,1.59984847947201e-39,"SPOCK1"
"TMEM173",291.334493771146,-1.60971060971081,0.117488549054984,-13.7009999924118,9.39297819469071e-19,5.94493841652664e-16,"TMEM173"
"SPRY4",68.2135583778363,1.71357618337405,0.243342450651539,7.0418300579534,1.59370994746516e-06,0.000313508590611491,"SPRY4"
"BTN3A1",334.13225433056,-1.00323974540691,0.109329213675532,-9.17631904299912,5.41413125193457e-05,0.00866082512466061,"BTN3A1"
"ETV7",46.0976603539808,-1.61655718081622,0.296757973440071,-5.44739257407917,0.000238868772091183,0.0351233607609227,"ETV7"
"CD24",140.086828301372,1.13193912523197,0.160163630714719,7.0673917679112,0.000284374938188005,0.040986593813889,"CD24"
"CYP2W1",21.4322353462851,-2.58242509563429,0.498442278004808,-5.18099127941426,2.94262431924135e-05,0.00503950379002309,"CYP2W1"
"SP8",60.8053682715126,-1.75368435715042,0.255803684268705,-6.85558678391939,2.23517444180165e-06,0.000428124136175087,"SP8"
"PRR15",56.2954880215423,-1.73414198757074,0.274118658099462,-6.32624571998859,1.27474312682364e-05,0.00229091798730514,"PRR15"
"GRB10",736.286277027357,-1.13388616686736,0.0898287715182683,-12.6227504584849,3.50147086872678e-10,1.1584298053649e-07,"GRB10"
"SAMD9",8515.71653880482,-1.03821756252427,0.0950411565138621,-10.9238734102824,7.1329260651592e-07,0.000150484064826844,"SAMD9"
"SAMD9L",534.818720795444,-1.02772629724899,0.100834006987825,-10.1922588216997,4.49311554394847e-06,0.000849432246405946,"SAMD9L"
"PTPRZ1",28.3078033872152,-3.19778637029158,0.485215382854241,-6.59044721847204,3.42423658274977e-08,8.88948517841946e-06,"PTPRZ1"
"PODXL",670.157846687242,-1.48867360459446,0.0885469322249963,-16.8122550063255,5.22291370566056e-25,4.47235028313534e-22,"PODXL"
"ZC3HAV1",5279.74593417478,-0.806437905813952,0.0419425288070335,-19.2272123010074,3.35503795151771e-08,8.87987044731698e-06,"ZC3HAV1"
"STC1",181.006510257456,1.94425770487399,0.15244350619496,12.7539555695306,1.78924620243606e-19,1.18391168040281e-16,"STC1"
"DDX58",1095.32030733116,-2.84849431031693,0.152377799837513,-18.6936306558724,1.99265165290462e-50,2.63700273739387e-47,"DDX58"
"TRIM14",1738.07545855242,-0.858796228635502,0.0544594740021808,-15.7694550740815,1.53308382423191e-07,3.59953245634579e-05,"TRIM14"
"KLF4",496.87921633604,-1.54230159415718,0.0988134896730837,-15.6082089526416,1.03224471697698e-22,7.90862439212314e-20,"KLF4"
"IFIT2",1763.56311972948,-4.96131487930193,0.157671758134447,-31.4660972770495,3.06530924404095e-170,2.23108533327521e-166,"IFIT2"
"IFIT3",1684.47030115014,-4.27550433460308,0.19185817367994,-22.2847129866645,5.6367993995017e-83,1.17221269797923e-79,"IFIT3"
"IFIT1",1269.32522466169,-2.81869218014081,0.123856844407561,-22.7576618282447,2.51522463645413e-73,4.57676562910784e-70,"IFIT1"
"IFITM1",2735.65416435494,-0.827998920355123,0.0494348833780175,-16.7492843873748,2.62862056253658e-07,5.97887961388204e-05,"IFITM1"
"TRIM22",404.39194893997,-0.995609851586919,0.119577317922531,-8.32607612283068,0.000254800933485724,0.0370913718875169,"TRIM22"
"UBE2L6",1175.1286356387,-0.948530863489882,0.0649564971524588,-14.6025556344825,6.99534379191294e-09,2.07818815467095e-06,"UBE2L6"
"RPLP0P2",117.695453774441,1.2072223078932,0.17755138180268,6.79928421641256,0.0002057284527164,0.0305590723080881,"RPLP0P2"
"RARRES3",88.2246926861004,-2.48218356722051,0.244648544235825,-10.1459159504658,3.76736283854631e-15,1.52337502335329e-12,"RARRES3"
"CST6",163.276690023829,1.12130742071976,0.158597360222598,7.07015185590705,0.000321150982237433,0.0458332828277481,"CST6"
