"","WT_1","WT_2","WT_3","IrrKO_1","IrrKO_2","IrrKO_3"
"TTBK2",1589.00794288628,1780.84649421196,1653.87652848841,1822.56323173056,1766.86162179751,1641.40203047998
"UBR1",2584.45289545198,2547.43604470055,2584.66285382375,3083.98569949787,3095.85330017799,3000.10431822934
"TMEM62",312.060417688039,350.594102111566,376.075282963773,297.505299001724,306.611506046114,328.778555422393
"CCNDBP1",1101.93441260762,1076.44183033643,1066.68625713361,1148.82815460666,1113.64580456883,1210.50286314608
"LCMT2",136.121309792705,144.740684357986,137.609364902653,173.926174801008,164.07304671364,161.898531079209
"ADAL",100.007492908926,92.2051767021243,100.856553158466,96.1170966005569,108.698393447786,107.102105175476
"ZSCAN29",1022.29881640236,1072.15321746656,1077.79757231209,1193.68279968692,1128.00219615627,1171.89629035027
"TUBGCP4",2221.46273600476,2234.36730520031,2162.4328770417,1969.94277985141,1937.08740776291,1914.13878668264
"TP53BP1",4191.9807444325,4036.6568637616,4033.40740978647,4374.70099670535,4543.79793742586,4450.96423136224
"MAP1A",30.5578450555053,19.2987579143981,20.5131972525695,37.5314377202175,41.01826167841,44.8334393757809
"PPIP5K1",1311.20935147259,1397.01564235893,1343.6144200433,1380.424587368,1284.89704707619,1366.17452764532
"CKMT1B",21.2978920083825,22.5152175667978,19.6584807003791,15.5618156400902,26.6618700909665,19.9259730559026
"CATSPER2",65.745666634572,83.6279509623918,60.684875205518,73.2320736004243,82.0365233568199,62.2686657996956
"CKMT1A",47.2257605403264,60.0405801781274,45.2999772660909,50.3470506002917,23.5855004650857,41.0973194277991
"CATSPER2P1",35.1878215790667,36.4532093938631,43.5905441617101,43.9392441602546,68.7055883113367,54.7964259037322
"PDIA3",15895.635400691,16706.291434564,16511.414355214,17993.1204836243,17722.965414699,18811.3639380881
"ELL3",175.013112590621,147.957144010385,156.413129050842,147.379548120854,164.07304671364,169.370770975172
"SERF2",947.293196720665,1000.3189518963,884.631631517058,992.294597285749,1003.92195457908,1042.3774654869
"SERINC4",17.5939107895334,16.0822982619984,15.3848979394271,19.2234193201114,24.610957007046,17.4352264239148
"MFAP1",1813.09880662665,1802.28955856129,1718.83498645488,1817.07082621053,1924.78192925939,2117.13463718965
"WDR76",1962.18405068533,2060.67848397073,2086.36310389675,1990.08160009153,2003.74208299033,2130.83374366558
"FRMD5",589.859009101724,552.158906995279,593.173287220133,732.320736004243,674.750404609844,689.936817060628
"CASC4",3902.14421405756,3727.87673713123,3858.19051658744,4090.9267115037,4047.4769711171,3906.7360922729
"CTDSPL2",2985.4088623924,2877.65923568025,2934.24192366962,3021.73843693751,3151.22795344385,3147.05836951662
"EIF3J-AS1",447.255732176032,437.438512726357,468.384670600336,386.299188242238,407.106247158219,412.218567593985
"EIF3J",6718.09593568761,6383.60025679591,6421.48545660643,7181.32021744161,7216.13768577427,7517.07333533926
"SPG11",1780.68897096172,1671.48686603037,1593.19165328289,1626.66743484942,1640.7304671364,1600.30471105218
"B2M",2391.84587207182,2219.35716015578,2239.35736673883,2055.07506541191,2089.88043251499,1925.34714652659
"SORD",2307.58029934301,2412.34473929976,2438.50632339919,2273.85588529317,2049.88762737854,1907.91192010267
"DUOX2",12.9639342659719,13.9379918270653,9.40188207409433,12.8156128800743,7.17819579372174,9.9629865279513
"DUOX1",455.589689918443,439.58281916129,367.528117441869,398.199400202307,468.633639675834,422.181554121936
"SHF",73.1536290722703,91.1330234846577,94.8735372931338,93.370893840541,99.4692845701442,79.7038922236104
"GATM",634.306783727913,685.105905961133,629.07138241213,782.667786604535,771.143319554107,785.830562392159
"SPATA5L1",347.248239267106,332.367497414634,332.484738802063,320.390322001856,369.16435510569,285.190489362606
"SLC30A4",245.388755748755,305.56366697797,233.337618747978,260.889262201512,285.076918664949,269.000636254685
"HMGN2P46",37.9658074932036,67.5456527003934,27.3509296700926,36.6160368002122,43.0691747623305,77.2131455916226
"BLOC1S6",2389.9938814624,2340.5104737295,2202.60455499465,2485.3134978144,2667.21246563861,2499.46424519978
"SQRDL",220.386882521523,232.657248190244,174.36217664684,161.110561920933,163.04759017168,165.63465102719
"SEMA6D",38.8918027979158,34.30890295893,25.6414965657118,45.7700460002652,25.6364135490062,31.1343328998478
"MYEF2",196.311004599004,217.647103145712,205.986689077885,253.566054841469,305.586049504154,298.889595838539
"DUT",4233.65053314455,4164.24309664013,4255.63371335597,4184.29760534424,4238.21188792171,3909.22683890489
"FBN1",104.637469432488,147.957144010385,100.001836606276,127.240727880737,94.3420018603429,124.537331599391
"CEP152",922.291323493433,852.361807885917,816.254307341826,826.607030764789,880.867169543854,887.95117430366
"EID1",2755.76202682375,2773.66037358599,2717.14391941326,2967.72978265719,2972.79851514276,3194.38255552439
"SECISBP2L",1312.1353467773,1296.23323991707,1306.86160829911,1455.48746280843,1528.95570406273,1616.4945641601
"COPS2",4525.33905412892,4529.84734379622,4547.0920576529,5157.36878330988,5202.14103736434,5407.41093804557
"GALK2",485.221539669236,484.613254294886,482.060135435382,480.585483002784,461.455443882112,488.186339869614
"FAM227B",80.5615915099685,56.8241205257278,68.3773241752315,54.9240552003182,73.8328710211379,64.7594124316835
"DTWD1",405.58594346398,384.903005070496,395.733763664152,408.268810322365,398.902594822537,336.250795318356
"SLC27A2",111.119436565474,113.648241051456,93.164104188753,104.355704880605,105.622023821906,102.120611911501
"GABPB1",1197.31192899298,1232.97620008655,1079.50700541647,1121.3661270065,1137.23130503392,1191.82226340617
"FLJ10038",165.753159543498,132.946998965854,149.575396633319,129.986930640753,130.232980828952,120.80121165141
"GABPB1-AS1",129.639342659719,129.730539313454,150.430113185509,118.086718680684,136.385720080713,135.745691443336
"USP8",3863.25241125964,3836.16421209536,3765.02641239869,4082.68810322365,4358.19030333106,4619.08962902142
"TRPM7",2556.67303631061,2617.12600383588,2492.35346618719,2818.51943269633,2886.6601656181,2834.46966720215
"SPPL2A",1484.37047345379,1645.75518881117,1551.31054222557,1731.02313973003,1717.63970778342,1718.6151760716
"AP4E1",1523.2622762517,1483.86005297372,1488.06151736348,1573.57418148912,1795.5744049724,1581.62411131227
"TNFAIP8L3",44.4477746261895,65.4013462654603,51.2829931314236,77.8090782004508,75.8837841050584,68.4955323796652
"GLDN",42.595784016765,34.30890295893,58.1207255489468,35.7006358802068,33.8400658846882,26.1528396358722
"DMXL2",1315.83932799615,1257.63572408828,1218.8258034235,1485.69569316861,1558.69394377958,1477.01275276878
"LYSMD2",325.024351954011,345.233336024233,393.169614007581,358.837160642079,317.891528007677,300.134969154533
"TMOD2",350.952220485955,377.39793254823,353.852652606823,371.652773522153,369.16435510569,413.463940909979
"TMOD3",6401.40554147601,6227.06588704579,6184.72897164969,6962.53939756034,6884.91522272111,6850.79861128251
"LEO1",1558.45009783077,1540.68417349945,1582.93505465661,1544.28135204895,1689.95238115049,1673.78173669582
"MAPK6",3974.37184782511,4083.83160533013,3939.38858904553,3709.20452786149,3774.70553095568,3624.03634954229
"GNB5",988.036990128005,1089.30766894603,1049.5919260898,1178.12098404683,1084.93302139394,1153.21569061036
"MYO5C",1255.64963318985,1252.27495800094,1271.81822965931,1329.1621358477,1237.72604614602,1369.9106475933
"MYO5A",3865.10440186907,3857.60727644469,3728.2736006545,4325.26934702506,4429.97226126828,4372.50571245463
"ARPP19",9265.50901895109,9477.8344424044,9277.09345747454,9623.60987201576,10014.6085887838,9675.30529195671
"FAM214A",499.11146923992,420.284061246892,405.990362290437,540.086542803129,524.008292941687,571.626352041206
"ONECUT1",21.2978920083825,18.2266046969315,19.6584807003791,21.054221160122,21.5345873811652,17.4352264239148
"WDR72",1635.30770812189,1582.49814898064,1447.03512285834,1308.10791468758,1433.58824566043,1407.27184707312
"RSL24D1",2889.10535070232,3070.64681482423,2925.69475814772,2924.70593941695,2926.65297075455,2815.78906746224
"RAB27A",608.378915195969,530.715842645948,594.028003772324,520.863123483018,533.23740181933,519.320672769462
"LOC101928527",123.157375526734,124.369773226121,113.677301441322,113.509714080658,89.2147191505417,109.592851807464
"PIGB",400.029971635706,352.738408546499,362.399818128727,356.090957882063,392.749855570775,391.047221222089
"CCPG1",105.5634647372,125.441926443588,126.498049724178,145.548746280843,130.232980828952,122.046584967403
"C15orf65",12.0379389612597,12.8658386095987,10.2565986262847,8.23860828004773,17.4327612133242,16.1898531079209
"PYGO1",471.331610098552,535.004455515814,558.129908580327,420.169022282434,437.869943417026,445.843647125821
"PRTG",50.9297417591755,48.2468947859953,76.9244896971355,56.7548570403288,41.01826167841,34.8704528478296
"NEDD4",2123.30723370526,2151.81150745539,2203.45927154684,2313.2181248534,2479.55391845988,2402.32512655226
"RFX7",3067.82244451179,2920.54536437891,2964.15700299629,3181.01819701843,3171.73708428305,3239.21599490017
"TEX9",202.79297173199,210.142030623446,177.781042855602,192.234193201114,183.556721010885,185.560624083093
"MNS1",524.113342467152,493.190480034618,458.982788526242,508.047510602944,526.059206025608,547.964259037322
"ZNF280D",887.103501914366,865.227646495515,796.595826641447,892.515897005171,1022.38017233437,1011.24313258706
"LOC145783",58.3377041968738,62.1848866130606,68.3773241752315,42.108442320244,51.2728270980124,54.7964259037322
"TCF12",3916.03414362824,3706.4336727819,3825.7112876042,3987.4864075431,3942.88040383716,3921.68057206483
"LINC00926",9.25995304712282,21.4430643493312,11.1113151784751,17.3926174801008,16.407304671364,18.6805997399087
"CGNL1",43.5217793214773,52.5355076558615,50.4282765792332,27.4620276001591,64.6037621434957,62.2686657996956
"MYZAP",23.1498826178071,27.8759836541306,28.205646222283,28.3774285201644,29.7382397168472,29.8889595838539
"POLR2M",28.7058544460807,25.7316772191975,36.7528117441869,39.3622395602281,33.8400658846882,28.64358626786
"ADAM10",7013.48843789082,6745.98804429961,6742.85888023002,7287.50672416222,7519.67282219451,7649.08290683461
"HSP90AB4P",70.3756431581334,83.6279509623918,59.8301586533276,54.0086542803129,62.5528490595752,136.99106475933
"LOC101928725",10.1859483518351,9.64937895719905,20.5131972525695,15.5618156400902,19.4836742972447,12.4537331599391
"FAM63B",593.562990320573,615.415946825806,529.069545805854,756.121159924381,750.634188714902,687.44607042864
"SLTM",5451.3343588412,4970.50231617498,4883.85037921591,5476.84370439173,5468.75973827401,5663.95784114032
"RNF111",1768.65103200046,1689.7134707273,1655.58596159279,1775.87778481029,1976.0547563574,1892.96744031075
"CCNB2",3718.79714372452,3557.40437555405,3771.86414481621,3482.18509970018,3624.98887582948,3657.66142907412
"MYO1E",2521.48521473154,2720.05271271267,2564.14965657118,2378.21159017378,2415.97561285835,2463.34841903596
"FAM81A",399.103976330994,340.944723154367,382.058298829106,400.945602962323,423.513551829583,358.667515006247
"GTF2A2",1533.44822460354,1596.43614080771,1600.02938570042,1771.30078021026,1844.79631898649,1824.47190793108
"BNIP2",3541.93204052448,3505.94102111566,3416.30205910501,3643.29566162111,3880.32755477758,3825.7868267333
"ANXA2",26827.0099728195,27702.294832901,27550.078626753,30431.5881846563,30566.8086027511,31165.4672327477
"NARG2",1678.82948744337,1561.05508463131,1533.36149462957,1508.58071616874,1569.97396574114,1618.98531079209
"RORA",117.60140369846,120.081160356255,88.890521427801,82.3860828004773,101.520197654065,102.120611911501
"RP11-219B17.1",35.1878215790667,25.7316772191975,41.8811110573293,36.6160368002122,27.6873266329267,31.1343328998478
"VPS13C",2796.50582023109,2747.9286963668,2596.62888555442,2635.43924869527,2666.18700909665,2702.46009570679
"TLN2",405.58594346398,382.758698635562,371.801700202821,460.446662762668,450.175421920549,433.389913965882
"TPM1",1941.81215398166,1879.48459021888,1859.8632175663,1978.18138813146,2021.17484420365,2076.03731776185
"LACTB",321.320370735162,325.934578109835,323.082856727969,332.290533961925,349.680680808445,362.403634954229
"RPS27L",510.223412896467,472.819568902754,511.975214762046,573.04097592332,546.568336864813,606.496804889036
"RAB8B",720.424347066155,779.45538909819,658.986461738794,792.737196724593,866.51077795641,821.946388555982
"APH1B",80.5615915099685,93.2773299195909,98.2924035018953,108.932709480631,145.614828958355,120.80121165141
"CA12",4.62997652356141,9.64937895719905,9.40188207409433,18.3080184001061,18.4582177552845,17.4352264239148
"USP3",877.843548867243,929.556839543509,922.239159813435,919.062523685325,875.739886834053,863.043707983781
"FBXL22",14.8159248753965,18.2266046969315,13.6754648350463,8.23860828004773,12.305478503523,16.1898531079209
